,humidity,rain,temperature,timestamp,hour,t_Delta,h_Delta,r_Delta
1373,51.1,105,16.4,12.256,12,0,0.199999999999996,0
1996,59.4,221,13.2,12.264,12,0.100000000000001,-2.4,0
613,46.9,126,11.9,12.278,12,0.299999999999999,-2.4,0
866,45.3,123,18.7,12.286,12,0.100000000000001,0.400000000000006,0
499,54.3,127,13.3,12.3,12,-0.300000000000001,0.900000000000006,-1
157,44.2,172,15,12.31,12,0.0999999999999996,0.199999999999996,-19
267,45.3,154,19.7,12.316,12,0,0.5,-2
743,40.1,126,15.3,12.318,12,0.800000000000001,-2.5,-2
1303,50.7,102,16.3,12.319,12,0.0999999999999979,-3.2,0
46,44.4,171,19.2,12.323,12,0.100000000000001,-0.899999999999999,-12
1496,50.1,222,19.2,12.326,12,-0.199999999999999,1.3,1
926,41.4,100,21.5,12.332,12,0.199999999999999,-2.2,-1
1374,51.3,105,16.4,12.342,12,0.300000000000001,-1.5,1
1997,57,221,13.3,12.349,12,0.0999999999999996,-6.4,-1
614,44.5,126,12.2,12.364,12,0.300000000000001,-0.100000000000001,-2
867,45.7,123,18.8,12.372,12,0,2.59999999999999,0
500,55.2,126,13,12.386,12,-0.300000000000001,0,0
158,44.4,153,15.1,12.396,12,-0.0999999999999996,2.4,12
268,45.8,152,19.7,12.402,12,-0.0999999999999979,0.800000000000004,24
744,37.6,124,16.1,12.404,12,0.0999999999999979,2.9,-1
1304,47.5,102,16.4,12.405,12,0.300000000000001,-0.299999999999997,0
47,43.5,159,19.3,12.409,12,0.0999999999999979,0.299999999999997,7
1497,51.4,223,19,12.412,12,0.600000000000001,-8.5,-10
927,39.2,99,21.7,12.418,12,0.100000000000001,-2.3,2
1998,50.6,220,13.4,12.436,12,-0.0999999999999996,1.9,2
615,44.4,124,12.5,12.451,12,0.199999999999999,-1.9,3
868,48.3,123,18.8,12.458,12,0.399999999999999,-3.3,-1
501,55.2,126,12.7,12.472,12,0.200000000000001,-1.40000000000001,-1
159,46.8,165,15,12.482,12,0.199999999999999,-2.8,1
269,46.6,176,19.6,12.488,12,0,-1,-24
745,40.5,123,16.2,12.49,12,-0.299999999999999,-1.1,3
1305,47.2,102,16.7,12.494,12,-0.699999999999999,0.199999999999996,-1
48,43.8,166,19.4,12.495,12,0.200000000000003,0.600000000000001,4
1498,42.9,213,19.6,12.499,12,0.299999999999997,-2.1,10
928,36.9,101,21.8,12.504,12,-0.199999999999999,0.300000000000004,-2
1375,49.8,106,16.7,12.516,12,0.199999999999999,-0.0999999999999943,0
1999,52.5,222,13.3,12.523,13,0.299999999999999,-3.2,0
616,42.5,127,12.7,12.537,13,-0.0999999999999996,-0.100000000000001,0
869,45,122,19.2,12.544,13,0.100000000000001,-0.100000000000001,0
395,46.1,171,15.4,12.554,13,0.199999999999999,-0.899999999999999,-14
502,53.8,125,12.9,12.558,13,-0.0999999999999996,0.100000000000001,1
160,44,166,15.2,12.568,13,0.200000000000001,-0.200000000000003,-14
270,45.6,152,19.6,12.574,13,0.0999999999999979,-0.300000000000004,0
746,39.4,126,15.9,12.576,13,0.6,-2,-3
1306,47.4,101,16,12.581,13,0.199999999999999,1.6,0
